0.0,80.0,220.0,144.0,284.0,0.507,0.0,1.0,0.0,0.0,1.0,0.0,0.507,86.0,141.0,0.61,-1.0,-1.0,258.0,37.0,27.0,31.0,60.0,101.0,374.0,0.533,0.004,0.496,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.6,-1.0,0.0
0.0,84.0,255.0,319.0,630.0,0.506,0.0,2.0,0.0,0.0,2.0,0.0,0.506,237.0,370.0,0.641,-1.0,-1.0,798.0,76.0,88.0,241.0,-1.0,-1.0,875.0,0.543,0.003,0.587,-1.0,-1.0,15.2,5.9,2.3,10.6,-1.0,-1.0,0.0
1.0,73.0,177.0,316.0,797.0,0.396,107.0,326.0,0.328,107.0,326.0,0.328,0.464,210.0,289.0,0.727,-1.0,-1.0,202.0,302.0,167.0,18.0,145.0,157.0,949.0,0.508,0.409,0.363,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.4,-1.0,0.0
2.0,81.0,240.0,428.0,729.0,0.587,0.0,2.0,0.0,0.0,2.0,0.0,0.587,320.0,537.0,0.596,-1.0,-1.0,857.0,69.0,47.0,64.0,107.0,204.0,1176.0,0.598,0.003,0.737,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.9,-1.0,0.0
2.0,83.0,220.0,485.0,1091.0,0.445,138.0,360.0,0.383,138.0,360.0,0.383,0.508,394.0,474.0,0.831,-1.0,-1.0,559.0,82.0,58.0,26.0,150.0,140.0,1502.0,0.571,0.33,0.434,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.7,-1.0,0.0
1.0,73.0,180.0,747.0,1642.0,0.455,283.0,684.0,0.414,283.0,684.0,0.414,0.541,323.0,409.0,0.79,-1.0,-1.0,429.0,403.0,129.0,52.0,218.0,111.0,2100.0,0.572,0.417,0.249,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.6,-1.0,0.0
0.0,83.0,245.0,323.0,596.0,0.542,0.0,0.0,-1.0,0.0,0.0,-1.0,0.542,217.0,331.0,0.656,-1.0,-1.0,880.0,124.0,86.0,193.0,160.0,309.0,863.0,0.573,0.0,0.555,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,-1.0,0.0
1.0,70.0,200.0,580.0,1395.0,0.416,195.0,550.0,0.355,195.0,550.0,0.355,0.486,295.0,359.0,0.822,-1.0,-1.0,319.0,479.0,186.0,10.0,188.0,155.0,1650.0,0.527,0.394,0.257,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.6,-1.0,0.0
1.0,80.0,195.0,353.0,824.0,0.428,130.0,409.0,0.318,130.0,409.0,0.318,0.507,226.0,294.0,0.769,-1.0,-1.0,449.0,147.0,90.0,42.0,241.0,83.0,1062.0,0.551,0.496,0.357,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,-1.0,0.0
1.0,73.0,180.0,763.0,1794.0,0.425,250.0,683.0,0.366,250.0,683.0,0.366,0.495,268.0,336.0,0.798,-1.0,-1.0,502.0,405.0,258.0,19.0,195.0,219.0,2044.0,0.523,0.381,0.187,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.8,-1.0,0.0
2.0,80.0,240.0,612.0,1423.0,0.43,85.0,295.0,0.288,85.0,295.0,0.288,0.46,337.0,504.0,0.669,-1.0,-1.0,910.0,215.0,193.0,89.0,201.0,271.0,1646.0,0.495,0.207,0.354,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.1,-1.0,0.0
2.0,77.0,215.0,494.0,1148.0,0.43,92.0,282.0,0.326,92.0,282.0,0.326,0.47,347.0,440.0,0.789,-1.0,-1.0,716.0,205.0,129.0,58.0,172.0,230.0,1427.0,0.526,0.246,0.383,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.8,-1.0,0.0
2.0,83.0,247.0,538.0,1075.0,0.5,71.0,213.0,0.333,71.0,213.0,0.333,0.533,345.0,446.0,0.774,-1.0,-1.0,551.0,139.0,37.0,50.0,159.0,259.0,1492.0,0.58,0.198,0.415,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.9,-1.0,0.0
1.0,78.0,220.0,699.0,1562.0,0.448,126.0,395.0,0.319,126.0,395.0,0.319,0.488,355.0,547.0,0.649,-1.0,-1.0,593.0,238.0,149.0,11.0,151.0,117.0,1879.0,0.516,0.253,0.35,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.4,-1.0,1.0
2.0,80.0,245.0,495.0,1074.0,0.461,130.0,356.0,0.365,130.0,356.0,0.365,0.521,464.0,610.0,0.761,-1.0,-1.0,749.0,277.0,259.0,44.0,253.0,409.0,1584.0,0.581,0.331,0.568,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.6,-1.0,0.0
